t_sec,joint,position,velocity,effort
1.048228047,J3,0.089113837,0.697388943,-0.317001974
1.058144859,J1,-1.439583195,-0.645876137,-0.003492423
1.058144859,J2,-1.622091569,0.572156864,0.240069540
1.058144859,J3,0.095904859,0.679102249,-0.316846240
1.068161966,J1,-1.445866373,-0.628317768,-0.003433145
1.068161966,J2,-1.616525602,0.556596712,0.247993862
1.068161966,J3,0.102511302,0.660644225,-0.316693706
1.078156373,J1,-1.451972505,-0.610613229,-0.003359877
1.078156373,J2,-1.611116523,0.540907897,0.255704512
1.078156373,J3,0.108931622,0.642032003,-0.316544583
1.088186052,J1,-1.457900277,-0.592777135,-0.003273911
1.088186052,J2,-1.605865490,0.525103285,0.263198943
1.088186052,J3,0.115164432,0.623281004,-0.316399056
1.098130941,J1,-1.463648503,-0.574822642,-0.003176534
1.098130941,J2,-1.600773545,0.509194455,0.270474798
1.098130941,J3,0.121208483,0.604405104,-0.316257288
1.108132123,J1,-1.469216119,-0.556761590,-0.003069015
1.108132123,J2,-1.595841627,0.493191829,0.277529908
1.108132123,J3,0.127062651,0.585416794,-0.316119424
1.118146855,J1,-1.474602165,-0.538604635,-0.002952604
1.118146855,J2,-1.591070579,0.477104788,0.284362269
1.118146855,J3,0.132725924,0.566327316,-0.315985589
1.128168432,J1,-1.479805779,-0.520361368,-0.002828525
1.128168432,J2,-1.586461161,0.460941771,0.290970035
1.128168432,J3,0.138197392,0.547146785,-0.315855891
1.138117441,J1,-1.484826183,-0.502040419,-0.002697972
1.138117441,J2,-1.582014058,0.444710378,0.297351507
1.138117441,J3,0.143476235,0.527884307,-0.315730425
1.148303498,J1,-1.489662679,-0.483649557,-0.002562109
1.148303498,J2,-1.577729883,0.428417445,0.303505120
1.148303498,J3,0.148561716,0.508548077,-0.315609272
1.158128955,J1,-1.494314637,-0.465195773,-0.002422061
1.158128955,J2,-1.573609192,0.412069127,0.309429434
1.158128955,J3,0.153453170,0.489145470,-0.315492504
1.168202216,J1,-1.498781490,-0.446685359,-0.002278920
1.168202216,J2,-1.569652482,0.395670962,0.315123126
1.168202216,J3,0.158150002,0.469683124,-0.315380179
1.178220719,J1,-1.503062730,-0.428123978,-0.002133735
1.178220719,J2,-1.565860203,0.379227935,0.320584981
1.178220719,J3,0.162651672,0.450167012,-0.315272349
1.188161767,J1,-1.507157897,-0.409516728,-0.001987516
1.188161767,J2,-1.562232758,0.362744532,0.325813882
1.188161767,J3,0.166957697,0.430602512,-0.315169057
1.198198150,J1,-1.511066579,-0.390868194,-0.001841231
1.198198150,J2,-1.558770510,0.346224790,0.330808807
1.198198150,J3,0.171067641,0.410994461,-0.315070338
1.208205130,J1,-1.514788404,-0.372182505,-0.001695804
1.208205130,J2,-1.555473786,0.329672344,0.335568819
1.208205130,J3,0.174981114,0.391347216,-0.314976221
1.218194159,J1,-1.518323038,-0.353463377,-0.001552118
1.218194159,J2,-1.552342882,0.313090464,0.340093059
1.218194159,J3,0.178697761,0.371664695,-0.314886732
1.228159652,J1,-1.521670180,-0.334714154,-0.001411009
1.228159652,J2,-1.549378061,0.296482093,0.344380745
1.228159652,J3,0.182217265,0.351950426,-0.314801889
1.238158111,J1,-1.524829558,-0.315937844,-0.001273270
1.238158111,J2,-1.546579562,0.279849880,0.348431160
1.238158111,J3,0.185539341,0.332207584,-0.314721707
1.248159293,J1,-1.527800930,-0.297137158,-0.001139649
1.248159293,J2,-1.543947600,0.263196210,0.352243651
1.248159293,J3,0.188663731,0.312439027,-0.314646200
1.258151745,J1,-1.530584075,-0.278314532,-0.001010852
1.258151745,J2,-1.541482367,0.246523229,0.355817623
1.258151745,J3,0.191590204,0.292647325,-0.314575376
1.268196160,J1,-1.533178796,-0.259472160,-0.000887535
1.268196160,J2,-1.539184039,0.229832866,0.359152538
1.268196160,J3,0.194318552,0.272834793,-0.314509241
1.278187774,J1,-1.535584917,-0.240612018,-0.000770315
1.278187774,J2,-1.537052770,0.213126862,0.362247904
1.278187774,J3,0.196848587,0.253003514,-0.314447800
1.288195522,J1,-1.537802275,-0.221735881,-0.000659760
1.288195522,J2,-1.535088702,0.196406779,0.365103278
1.288195522,J3,0.199180141,0.233155364,-0.314391056
1.298198450,J1,-1.539830729,-0.202845350,-0.000556397
1.298198450,J2,-1.533291962,0.179674025,0.367718261
1.298198450,J3,0.201313061,0.213292028,-0.314339010
1.308198026,J1,-1.541670148,-0.183941864,-0.000460706
1.308198026,J2,-1.531662663,0.162929869,0.370092491
1.308198026,J3,0.203247211,0.193415026,-0.314291663
1.318236365,J1,-1.543326111,-0.165596294,-0.000375712
1.318236365,J2,-1.530195864,0.146679943,0.372231516
1.318236365,J3,0.204988458,0.174124645,-0.314249825
1.328145634,J1,-1.544816477,-0.149036665,-0.000306018
1.328145634,J2,-1.528875745,0.132011949,0.374155208
1.328145634,J3,0.206555580,0.156712180,-0.314214726
1.338215542,J1,-1.546157807,-0.134132998,-0.000249107
1.338215542,J2,-1.527687637,0.118810754,0.375885214
1.338215542,J3,0.207965989,0.141040962,-0.314185267
1.348221125,J1,-1.547365004,-0.120719698,-0.000202675
1.348221125,J2,-1.526618340,0.106929679,0.377441111
1.348221125,J3,0.209235358,0.126936866,-0.314160476
1.358170693,J1,-1.548451481,-0.108647729,-0.000164821
1.358170693,J2,-1.525655973,0.096236711,0.378840487
1.358170693,J3,0.210377790,0.114243179,-0.314139555
1.368231522,J1,-1.549429311,-0.097782956,-0.000133982
1.368231522,J2,-1.524789843,0.086613040,0.380099149
1.368231522,J3,0.211405978,0.102818862,-0.314121853
1.378116555,J1,-1.550309358,-0.088004660,-0.000108873
1.378116555,J2,-1.524010325,0.077951736,0.381231299
1.378116555,J3,0.212331348,0.092536975,-0.314106830
1.388159364,J1,-1.551101400,-0.079204194,-0.000088440
1.388159364,J2,-1.523308760,0.070156562,0.382249698
1.388159364,J3,0.213164181,0.083283278,-0.314094046
1.398226269,J1,-1.551814237,-0.071283775,-0.000071821
1.398226269,J2,-1.522677351,0.063140906,0.383165815
1.398226269,J3,0.213913730,0.074954950,-0.314083136
1.408257833,J1,-1.552455791,-0.064155397,-0.000058310
1.408257833,J2,-1.522109083,0.056826815,0.383989955
1.408257833,J3,0.214588325,0.067459455,-0.314073799
1.418175413,J1,-1.553033190,-0.057739858,-0.000047329
1.418175413,J2,-1.521597641,0.051144134,0.384731380
1.418175413,J3,0.215195460,0.060713510,-0.314065785
1.428129592,J1,-1.553552849,-0.051965872,-0.000038408
1.428129592,J2,-1.521137344,0.046029720,0.385398415
1.428129592,J3,0.215741882,0.054642159,-0.314058889
1.438185322,J1,-1.554020541,-0.046769285,-0.000031162
1.438185322,J2,-1.520723076,0.041426748,0.385998545
1.438185322,J3,0.216233661,0.049177943,-0.314052937
1.448161221,J1,-1.554441465,-0.042092356,-0.000025280
1.448161221,J2,-1.520350236,0.037284074,0.386538495
1.448161221,J3,0.216676263,0.044260148,-0.314047787
1.458164848,J1,-1.554820296,-0.037883121,-0.000020504
1.458164848,J2,-1.520014679,0.033555666,0.387024315
1.458164848,J3,0.217074604,0.039834134,-0.314043319
1.468177415,J1,-1.555161244,-0.034094808,-0.000016628
1.468177415,J2,-1.519712678,0.030200100,0.387461442
1.468177415,J3,0.217433111,0.035850720,-0.314039434
1.478129777,J1,-1.555468098,-0.030685328,-0.000013484
1.478129777,J2,-1.519440877,0.027180090,0.387854765
1.478129777,J3,0.217755768,0.032265648,-0.314036046
1.488180479,J1,-1.555744265,-0.027616795,-0.000010933
1.488180479,J2,-1.519196256,0.024462081,0.388208683
1.488180479,J3,0.218046158,0.029039083,-0.314033086
1.498190950,J1,-1.555992817,-0.024855115,-0.000008863
1.498190950,J2,-1.518976098,0.022015873,0.388527148
1.498190950,J3,0.218307510,0.026135175,-0.314030494
1.508153160,J1,-1.556216513,-0.022369604,-0.000007185
1.508153160,J2,-1.518777955,0.019814285,0.388813718
1.508153160,J3,0.218542727,0.023521658,-0.314028219
1.518162235,J1,-1.556417839,-0.020132643,-0.000005824
1.518162235,J2,-1.518599626,0.017832857,0.389071591
1.518162235,J3,0.218754422,0.021169492,-0.314026219
1.528254633,J1,-1.556599033,-0.018119379,-0.000004720
1.528254633,J2,-1.518439131,0.016049571,0.389303644
1.528254633,J3,0.218944947,0.019052543,-0.314024457
1.538312877,J1,-1.556762107,-0.016307441,-0.000003826
1.538312877,J2,-1.518294684,0.014444614,0.389512465
1.538312877,J3,0.219116420,0.017147288,-0.314022902
1.548167529,J1,-1.556908874,-0.014676697,-0.000003100
1.548167529,J2,-1.518164683,0.013000153,0.389700383
1.548167529,J3,0.219270746,0.015432560,-0.314021528
1.558144476,J1,-1.557040965,-0.013209027,-0.000002513
1.558144476,J2,-1.518047681,0.011700137,0.389869491
1.558144476,J3,0.219409639,0.013889304,-0.314020311
1.568301199,J1,-1.557159846,-0.011888125,-0.000002036
1.568301199,J2,-1.517942380,0.010530124,0.390021675
1.568301199,J3,0.219534642,0.012500373,-0.314019232
1.578127634,J1,-1.557266839,-0.010699312,-0.000001650
1.578127634,J2,-1.517847609,0.009477111,0.390158628
1.578127634,J3,0.219647146,0.011250336,-0.314018275
1.588221080,J1,-1.557363133,-0.009629381,-0.000001337
1.588221080,J2,-1.517762315,0.008529400,0.390281877
1.588221080,J3,0.219748399,0.010125302,-0.314017424
1.598268219,J1,-1.557449797,-0.008666443,-0.000001083
1.598268219,J2,-1.517685551,0.007676460,0.390392793
1.598268219,J3,0.219839526,0.009112772,-0.314016667
1.608161354,J1,-1.557527795,-0.007799799,-0.000000878
1.608161354,J2,-1.517616462,0.006908814,0.390492612
1.608161354,J3,0.219921541,0.008201495,-0.314015992
1.618215967,J1,-1.557597993,-0.007019819,-0.000000711
1.618215967,J2,-1.517554283,0.006217933,0.390582444
1.618215967,J3,0.219995355,0.007381345,-0.314015391
1.628123280,J1,-1.557661172,-0.006317837,-0.000000576
