t_sec,joint,position_cmd,velocity_cmd
1.015314278,joint0,-1.482462069,-0.536862739
1.015314278,joint1,-1.584104919,0.475519102
1.015314278,joint2,0.140988402,0.564522007
1.025309314,joint0,-1.487735596,-0.517842657
1.025309314,joint1,-1.579433962,0.458672315
1.025309314,joint2,0.146533622,0.544522007
1.035310915,joint0,-1.492818922,-0.498822575
1.035310915,joint1,-1.574931472,0.441825528
1.035310915,joint2,0.151878842,0.524522007
1.045315241,joint0,-1.497712048,-0.479802493
1.045315241,joint1,-1.570597451,0.424978741
1.045315241,joint2,0.157024062,0.504522007
1.055312582,joint0,-1.502414972,-0.460782412
1.055312582,joint1,-1.566431897,0.408131954
1.055312582,joint2,0.161969282,0.484522007
1.065317745,joint0,-1.506927696,-0.441762330
1.065317745,joint1,-1.562434812,0.391285167
1.065317745,joint2,0.166714502,0.464522007
1.075310337,joint0,-1.511250219,-0.422742248
1.075310337,joint1,-1.558606194,0.374438379
1.075310337,joint2,0.171259722,0.444522007
1.085323672,joint0,-1.515382541,-0.403722166
1.085323672,joint1,-1.554946044,0.357591592
1.085323672,joint2,0.175604942,0.424522007
1.095302924,joint0,-1.519324662,-0.384702084
1.095302924,joint1,-1.551454362,0.340744805
1.095302924,joint2,0.179750162,0.404522007
1.105307598,joint0,-1.523076583,-0.365682002
1.105307598,joint1,-1.548131148,0.323898018
1.105307598,joint2,0.183695382,0.384522007
1.115314648,joint0,-1.526638302,-0.346661921
1.115314648,joint1,-1.544976402,0.307051231
1.115314648,joint2,0.187440602,0.364522007
1.125325608,joint0,-1.530009821,-0.327641839
1.125325608,joint1,-1.541990124,0.290204444
1.125325608,joint2,0.190985822,0.344522007
1.135338734,joint0,-1.533191139,-0.308621757
1.135338734,joint1,-1.539172313,0.273357657
1.135338734,joint2,0.194331043,0.324522007
1.145313096,joint0,-1.536182256,-0.289601675
1.145313096,joint1,-1.536522970,0.256510870
1.145313096,joint2,0.197476263,0.304522007
1.155312253,joint0,-1.538983173,-0.270581593
1.155312253,joint1,-1.534042096,0.239664083
1.155312253,joint2,0.200421483,0.284522007
1.165329360,joint0,-1.541593888,-0.251561511
1.165329360,joint1,-1.531729689,0.222817296
1.165329360,joint2,0.203166703,0.264522007
1.175321532,joint0,-1.544014403,-0.232541430
1.175321532,joint1,-1.529585750,0.205970509
1.175321532,joint2,0.205711923,0.244522007
1.185329490,joint0,-1.546244717,-0.213521348
1.185329490,joint1,-1.527610279,0.189123722
1.185329490,joint2,0.208057143,0.224522007
1.195320685,joint0,-1.548284830,-0.194501266
1.195320685,joint1,-1.525803275,0.172276935
1.195320685,joint2,0.210202363,0.204522007
1.205320470,joint0,-1.550134742,-0.175481184
1.205320470,joint1,-1.524164740,0.155430148
1.205320470,joint2,0.212147583,0.184522007
1.215329126,joint0,-1.551794453,-0.156461102
1.215329126,joint1,-1.522694672,0.138583361
1.215329126,joint2,0.213892803,0.164522007
1.225314035,joint0,-1.553263964,-0.137441020
1.225314035,joint1,-1.521393073,0.121736574
1.225314035,joint2,0.215438023,0.144522007
1.235315776,joint0,-1.554543274,-0.118420939
1.235315776,joint1,-1.520259941,0.104889787
1.235315776,joint2,0.216783243,0.124522007
1.245364172,joint0,-1.555632383,-0.099400857
1.245364172,joint1,-1.519295277,0.088043000
1.245364172,joint2,0.217928463,0.104522007
1.255290203,joint0,-1.556531291,-0.080380775
1.255290203,joint1,-1.518499081,0.071196213
1.255290203,joint2,0.218873683,0.084522007
1.265326168,joint0,-1.557239998,-0.061360693
1.265326168,joint1,-1.517871353,0.054349426
1.265326168,joint2,0.219618904,0.064522007
1.275334334,joint0,-1.557758505,-0.042340611
1.275334334,joint1,-1.517412092,0.037502639
1.275334334,joint2,0.220164124,0.044522007
1.285332304,joint0,-1.558086810,-0.023320529
1.285332304,joint1,-1.517121300,0.020655852
1.285332304,joint2,0.220509344,0.024522007
1.295319029,joint0,-1.558224915,-0.004300448
1.295319029,joint1,-1.516998975,0.003809065
1.295319029,joint2,0.220654564,0.004522007
1.305336415,joint0,-1.558229777,-0.000000000
1.305336415,joint1,-1.516994669,0.000000000
1.305336415,joint2,0.220659676,0.000000000
